23:06:24.254 [main] INFO  c.l.generic.gtc.model.SimpleGtcModel - Cargando modelo con cadenas basicas y de error
23:06:24.270 [main] INFO  c.l.generic.gtc.model.SimpleGtcModel - Cargando cadenas basicas de la fuente [D:\temp\cadenas_basic.txt]
23:06:24.270 [main] INFO  c.l.generic.gtc.model.SimpleGtcModel - Se han cargado 35 cadenas de la fuente basica [D:\temp\cadenas_basic.txt]
23:06:24.270 [main] INFO  c.l.generic.gtc.model.SimpleGtcModel - Cargando cadenas de error de la fuente [D:\temp\cadenas_error.txt]
23:06:24.270 [main] INFO  c.l.generic.gtc.model.SimpleGtcModel - Se han cargado 7 cadenas de la fuente de error [D:\temp\cadenas_error.txt]
23:06:24.270 [main] INFO  c.l.generic.gtc.model.SimpleGtcModel - Fin de Inicializacion del modelo @2014/10/28 23:06:24.270
23:06:24.270 [main] INFO  c.l.g.g.c.SimpleGtcController - Comenzando la ejecución de la vista @2014/10/28 23:06:24.270
23:06:24.270 [main] INFO  c.l.generic.gtc.view.SimpleGtcView - Antes de ejecutar el timerBooleanController
23:06:24.270 [main] INFO  c.l.generic.gtc.view.SimpleGtcView - timerBooleanController esta en estado [RUNNABLE]
23:06:24.270 [TIMER] INFO  c.l.g.g.c.TimerBooleanController - Ejecutando el hilo del Timer @2014/10/28 23:06:24.270
23:06:26.283 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:26.283
23:06:26.283 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:26.283
23:06:26.283 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Vista actualizada @2014/10/28 23:06:26.283
23:06:28.284 [TIMER] INFO  c.l.g.g.c.SimpleGtcController - Accion de evento recibida @2014/10/28 23:06:28.284
23:06:28.284 [TIMER] INFO  c.l.generic.gtc.view.SimpleGtcView - Actualizando vista @2014/10/28 23:06:28.284
